가감	ㄱㅏㄱㅏㅁ	더하거나 뺌.
기법	ㄱㅣㅂㅓㅂ	기교와 방법.
기벽	ㄱㅣㅂㅕㄱ	남들과는 다른 특이하고 이상한 버릇.
기별	ㄱㅣㅂㅕㄹ	다른 곳에 있는 사람에게 소식을 전함. 또는 그 소식.
기병	ㄱㅣㅂㅕㅇ	말을 타고 싸우는 병사.
기복	ㄱㅣㅂㅗㄱ	신에게 복을 내려 달라고 비는 것.
기본	ㄱㅣㅂㅗㄴ	무엇을 하기 전에 가장 먼저 해야 하는 것이나 꼭 있어야 하는 것.
기분	ㄱㅣㅂㅜㄴ	불쾌, 유쾌, 우울, 분노 등의 감정 상태.
기상	ㄱㅣㅅㅏㅇ	바람, 비, 구름, 눈 등의 대기 속에서 일어나는 현상.
기선	ㄱㅣㅅㅓㄴ	증기 기관의 힘으로 움직이는 배.
기성	ㄱㅣㅅㅓㅇ	이미 이루어져 있는 것.
기세	ㄱㅣㅅㅓㅣ	힘차게 뻗치는 기운이나 세력.
기술	ㄱㅣㅅㅜㄹ	과학 이론을 실제로 적용하여 인간 생활에 쓸모가 있게 하는 수단.
기습	ㄱㅣㅅㅡㅂ	적이 생각지 않았던 때에, 갑자기 들이쳐 공격함. 또는 그런 공격.
기승	ㄱㅣㅅㅡㅇ	성격이 강하고 사나워 좀처럼 굽히지 않음. 또는 그 성격.
기실	ㄱㅣㅅㅣㄹ	실제의 사정.
기악	ㄱㅣㅇㅏㄱ	악기로 연주하는 음악.
기안	ㄱㅣㅇㅏㄴ	사업이나 활동을 하기 위하여 처음으로 대강 세운 계획을 문서로 만드는 일. 또는 그러한 계획.
기암	ㄱㅣㅇㅏㅁ	이상하게 생긴 바위.
기압	ㄱㅣㅇㅏㅂ	공기의 무게로 인해 생기는 압력.
기약	ㄱㅣㅇㅑㄱ	때를 정하여 약속함. 또는 그런 약속.
기억	ㄱㅣㅇㅓㄱ	이전의 모습, 사실, 지식, 경험 등을 잊지 않거나 다시 생각해 냄.
기업	ㄱㅣㅇㅓㅂ	이윤을 얻기 위해 생산, 판매, 유통 등의 경제 활동을 하는 조직체.
기역	ㄱㅣㅇㅕㄱ	한글 자모 ‘ㄱ’의 이름.
기염	ㄱㅣㅇㅕㅁ	매우 강하고 맹렬한 기세.
기예	ㄱㅣㅇㅕㅣ	무술이나 예술 등에서의 뛰어난 재주와 기술.
기온	ㄱㅣㅇㅗㄴ	대기의 온도.
기와	ㄱㅣㅇㅗㅏ	흙이나 시멘트, 금속 등의 재료를 사용하여 넓적하게 만들어서 지붕을 덮는 데 쓰는 물건.
기용	ㄱㅣㅇㅛㅇ	능력 있는 사람을 중요한 자리에 뽑아 씀.
기운	ㄱㅣㅇㅜㄴ	생물이 몸을 움직이고 활동하는 힘.
기인	ㄱㅣㅇㅣㄴ	말이나 행동, 성격 등이 보통 사람과 매우 다른 특이한 사람.
기일	ㄱㅣㅇㅣㄹ	사람이 죽은 후 일 년에 한 번씩 제사를 지내는 날.
기입	ㄱㅣㅇㅣㅂ	어떤 사실을 정해진 문서나 노트 등에 씀.
기장	ㄱㅣㅈㅏㅇ	옷의 길이.
기재	ㄱㅣㅈㅏㅣ	어떤 사실을 문서 등에 씀.
기적	ㄱㅣㅈㅓㄱ	평범한 사람들의 지식이나 생각으로는 설명할 수 없을 만큼 이상하고 놀라운 일.
기절	ㄱㅣㅈㅓㄹ	심하게 놀라거나 충격을 받아 일시적으로 정신을 잃고 쓰러짐.
기점	ㄱㅣㅈㅓㅁ	어떤 일이 처음 시작되는 시간이나 곳.
기제	ㄱㅣㅈㅓㅣ	사람이 어떤 행동을 하게 하는 심리 작용이나 원리.
기존	ㄱㅣㅈㅗㄴ	이미 존재함.
기종	ㄱㅣㅈㅗㅇ	비행기의 종류.
기준	ㄱㅣㅈㅜㄴ	구별하거나 정도를 판단하기 위하여 그것과 비교하도록 정한 대상이나 잣대.
기증	ㄱㅣㅈㅡㅇ	남을 위하여 자신의 물품이나 재산, 장기 등을 대가 없이 줌.
기진	ㄱㅣㅈㅣㄴ	힘을 모두 써서 지침.
기질	ㄱㅣㅈㅣㄹ	개인이나 집단이 가지고 있는 특별한 성질.
기척	ㄱㅣㅊㅓㄱ	누가 있는 것을 짐작하게 하는 소리나 표시.
기체	ㄱㅣㅊㅓㅣ	일정한 모양이나 부피가 없고 널리 퍼지려는 성질이 있어 자유롭게 떠서 돌아다니는 물질.
기축	ㄱㅣㅊㅜㄱ	사회나 조직, 세력 등의 중심이 되는 중요한 부분.
기층	ㄱㅣㅊㅡㅇ	대기가 이루는 층.
기침	ㄱㅣㅊㅣㅁ	폐에서 목구멍을 통해 공기가 거친 소리를 내며 갑자기 터져 나오는 일.
기탄	ㄱㅣㅌㅏㄴ	어렵고 불편하게 여겨 감추거나 피함.
기틀	ㄱㅣㅌㅡㄹ	어떤 일의 기본이 되는 조건이나 바탕.
기폭	ㄱㅣㅍㅗㄱ	압력이나 열 등을 받아 폭발을 일으키는 일.
기품	ㄱㅣㅍㅜㅁ	어떤 사람이나 사물에서 드러나는 격이 높고 훌륭한 분위기.
기풍	ㄱㅣㅍㅜㅇ	어떤 집단이나 사회를 지배하는 공통적인 분위기.
기한	ㄱㅣㅎㅏㄴ	미리 정해 놓은 시기.
기함	ㄱㅣㅎㅏㅁ	몸의 힘을 모두 잃음.
기합	ㄱㅣㅎㅏㅂ	힘과 정신을 모으기 위해 내는 큰 소리.
기혈	ㄱㅣㅎㅕㄹ	사람의 몸 속에 흐르는 기운과 피.
기형	ㄱㅣㅎㅕㅇ	사물의 구조나 생김새 등이 정상과 다른 모양.
기혼	ㄱㅣㅎㅗㄴ	이미 결혼함.
기화	ㄱㅣㅎㅗㅏ	액체가 기체로 변함.
기회	ㄱㅣㅎㅗㅣ	어떤 일을 하기에 알맞은 시기나 경우.
길가	ㄱㅣㄹㄱㅏ	길의 양쪽 가장자리.
길이	ㄱㅣㄹㅇㅣ	무엇의 한쪽 끝에서 다른 쪽 끝까지의 거리.
길조	ㄱㅣㄹㅈㅗ	좋은 일이 생길 징조.
김치	ㄱㅣㅁㅊㅣ	배추나 무 등의 채소를 소금에 절인 후 양념에 버무려 발효시켜서 만든 음식.
깁스	ㄱㅣㅂㅅㅡ	금이 가거나 부러진 뼈를 고정시키기 위해 붕대를 감고 석고를 바르는 것.
깊이	ㄱㅣㅍㅇㅣ	위에서 밑바닥까지 또는 겉에서 속까지의 거리.
까치	ㄱㄱㅏㅊㅣ	머리에서 등까지는 검고 윤이 나며 어깨와 배는 흰, 사람의 집 근처에 사는 새.
꼬리	ㄱㄱㅗㄹㅣ	동물의 몸뚱이의 뒤 끝에 달려 있거나 나와 있는 부분.
꼬마	ㄱㄱㅗㅁㅏ	(귀엽게 이르는 말로) 어린아이.
꼬치	ㄱㄱㅗㅊㅣ	나무나 쇠로 만든, 한쪽 끝이 뾰족한 가늘고 긴 막대기에 꿰어 만든 음식.
꽝	ㄱㄱㅗㅏㅇ	제비뽑기 등에서 아무 이득이 없는 것.
꾐	ㄱㄱㅗㅣㅁ	주로 좋지 않은 일을 하도록 다른 사람을 속이거나 부추기는 것.
꿩	ㄱㄱㅜㅓㅇ	닭과 비슷한 크기에 꼬리가 길고, 여러 가지 색을 가진 깃털에 검은 점이 있는 새.
끼니	ㄱㄱㅣㄴㅣ	매일 일정한 시간에 식사로 음식을 먹음. 또는 그런 음식.
나귀	ㄴㅏㄱㅜㅣ	말과 비슷하지만 몸이 말보다 작고 귀가 크며 앞머리에 긴 털이 없는 동물.
나날	ㄴㅏㄴㅏㄹ	계속되는 하루하루.
나락	ㄴㅏㄹㅏㄱ	쌀을 열매로 맺는 농작물.
나목	ㄴㅏㅁㅗㄱ	잎이 다 떨어지고 가지만 앙상하게 남은 나무.
나물	ㄴㅏㅁㅜㄹ	고사리, 도라지 등의 사람이 먹을 수 있는 풀이나 나뭇잎.
나발	ㄴㅏㅂㅏㄹ	위는 가늘고 길며 끝은 넓게 퍼진 모양의, 입으로 바람을 불어 넣어 소리를 내는 옛날의 관악기.
나방	ㄴㅏㅂㅏㅇ	나비와 비슷하나 몸이 더 통통하고 주로 밤에 날아다니며, 식물에 해를 끼치는 벌레 알을 낳는 곤충.
나병	ㄴㅏㅂㅕㅇ	눈썹이 빠지고 살이 썩어 손발이나 얼굴이 변형되며 눈이 잘 보이지 않게 되는 전염병.
나선	ㄴㅏㅅㅓㄴ	겉모양이 소라 껍데기처럼 한 방향으로 빙빙 돌면서 꼬인 것.
나신	ㄴㅏㅅㅣㄴ	아무것도 입지 않은 몸.
나열	ㄴㅏㅇㅕㄹ	차례대로 죽 벌여 늘어놓음.
나인	ㄴㅏㅇㅣㄴ	(옛날에) 궁궐에서 왕과 왕비를 가까이에서 모시던 여자.
나졸	ㄴㅏㅈㅗㄹ	(옛날에) 마을을 순찰하고 죄인을 잡아들이는 일을 맡아 하던 계급이 낮은 군인.
나중	ㄴㅏㅈㅜㅇ	일정한 시간이 지난 뒤.
나체	ㄴㅏㅊㅓㅣ	아무 것도 입지 않은 벌거벗은 몸.
나태	ㄴㅏㅌㅏㅣ	행동이나 성격이 느리고 게으름.
나팔	ㄴㅏㅍㅏㄹ	위는 가늘고 길며 끝은 넓게 퍼진 모양의, 입으로 바람을 불어 넣어 소리를 내는 금속의 관악기.
나흘	ㄴㅏㅎㅡㄹ	네 날.
낙서	ㄴㅏㄱㅅㅓ	글이나 그림을 장난으로 아무 데나 함부로 쓰거나 그림. 또는 그러한 글이나 그림.
낙수	ㄴㅏㄱㅅㅜ	지붕 끝에서 물이 떨어지는 일. 또는 그 물.
낙오	ㄴㅏㄱㅇㅗ	목적지로 함께 가는 사람들의 무리에서 뒤처지는 것.
낙조	ㄴㅏㄱㅈㅗ	저녁에 지는 해와 그 주위로 퍼지는 붉은빛.
낙지	ㄴㅏㄱㅈㅣ	문어와 생김새가 비슷하며 뼈가 없는 회색 몸에 빨판이 달린 여덟 개의 긴 다리가 있고 위험할 때 먹물을 뿜는 바다 동물.
낙차	ㄴㅏㄱㅊㅏ	물이 높은 곳에서 낮은 곳으로 떨어질 때 생기는 위치의 차이.
낙타	ㄴㅏㄱㅌㅏ	사막 지대에서 사람이 타거나 짐을 나르는 데 쓰이는, 등에 큰 혹이 있는 동물.
낙하	ㄴㅏㄱㅎㅏ	높은 곳에서 낮은 곳으로 떨어짐.
낙후	ㄴㅏㄱㅎㅜ	기술, 문화, 생활 등이 일정한 기준에 미치지 못하고 뒤떨어짐.
난로	ㄴㅏㄴㄹㅗ	가스, 석유, 장작 등을 연료로 때거나 전기를 이용하여 실내를 따뜻하게 하는 기구.
난류	ㄴㅏㄴㄹㅠ	따뜻한 바닷물의 흐름.
난리	ㄴㅏㄴㄹㅣ	전쟁이나 나라 안에서 일어난 싸움.
난무	ㄴㅏㄴㅁㅜ	뒤섞여 어지럽게 춤을 춤. 또는 그렇게 추는 춤.
난사	ㄴㅏㄴㅅㅏ	활이나 총 등을 목표물에 정확히 향하게 하지 않고 아무 곳에나 마구 쏨.
난소	ㄴㅏㄴㅅㅗ	동물의 암컷의 생식 기관으로 난자를 만들어 여성 호르몬을 분비하는 생식 기관.
난시	ㄴㅏㄴㅅㅣ	눈의 각막 면이 평평하지 않아 사물을 명확하게 볼 수 없는 상태. 또는 그런 상태의 눈.
난자	ㄴㅏㄴㅈㅏ	수정을 통하여 동식물의 종족을 번식하는 암컷의 생식 세포.
난조	ㄴㅏㄴㅈㅗ	정상적인 상태에서 벗어나거나 조화를 잃은 상태.
난초	ㄴㅏㄴㅊㅗ	잎이 길고 가늘며 향기로운 꽃이 피는 식물.
난치	ㄴㅏㄴㅊㅣ	병을 고치기 어려움.
난타	ㄴㅏㄴㅌㅏ	마구 치거나 때림.
난투	ㄴㅏㄴㅌㅜ	여러 사람이 서로 뒤섞여 어지럽게 싸움.
난파	ㄴㅏㄴㅍㅏ	배가 폭풍우나 암초 등을 만나 부서지거나 뒤집힘.
날수	ㄴㅏㄹㅅㅜ	날의 수.
날조	ㄴㅏㄹㅈㅗ	사실이 아닌 것을 사실인 것처럼 거짓으로 꾸며 냄.
날치	ㄴㅏㄹㅊㅣ	몸이 가늘고 길며 커다란 가슴지느러미를 이용하여 물 위로 날아오르는 바닷물고기.
남녀	ㄴㅏㅁㄴㅕ	남자와 여자.
남도	ㄴㅏㅁㄷㅗ	남과 북으로 되어 있는 도에서, 남쪽에 있는 도.
남루	ㄴㅏㅁㄹㅜ	때 묻고 낡은 더러운 옷.
남미	ㄴㅏㅁㅁㅣ	아메리카 대륙의 남부로 육대주의 하나. 브라질, 아르헨티나, 칠레, 콜롬비아 등의 나라가 있다.
남부	ㄴㅏㅁㅂㅜ	어떤 지역의 남쪽.
남비	ㄴㅏㅁㅂㅣ	→ 냄비
남서	ㄴㅏㅁㅅㅓ	남쪽과 서쪽 사이의 방향.
남아	ㄴㅏㅁㅇㅏ	남자인 아이.
남우	ㄴㅏㅁㅇㅜ	남자 배우.
남자	ㄴㅏㅁㅈㅏ	남성으로 태어난 사람.
남파	ㄴㅏㅁㅍㅏ	임무를 주어 남쪽으로 보냄.
남포	ㄴㅏㅁㅍㅗ	석유를 넣은 그릇의 심지에 불을 붙이고 유리를 씌운 등.
남하	ㄴㅏㅁㅎㅏ	남쪽으로 내려감.
납기	ㄴㅏㅂㄱㅣ	세금이나 공과금 등을 내는 시기나 기한.
납부	ㄴㅏㅂㅂㅜ	세금이나 등록금 등을 국가 또는 공공 기관에 냄.
납치	ㄴㅏㅂㅊㅣ	강제적인 수단으로 사람을 억지로 끌어감.
낭보	ㄴㅏㅇㅂㅗ	기쁘고 반가운 소식.
낭비	ㄴㅏㅇㅂㅣ	돈, 시간, 물건 등을 헛되이 함부로 씀.
낭자	ㄴㅏㅇㅈㅏ	(옛날에) 결혼하지 않은 성인 여자를 높여 이르던 말.
낱자	ㄴㅏㅌㅈㅏ	음절을 이루는 하나하나의 글자.
내규	ㄴㅏㅣㄱㅠ	개별 단체나 조직에서 그 실정에 따라 내부에서만 시행할 목적으로 만든 규정.
내기	ㄴㅏㅣㄱㅣ	걸어 놓은 물품이나 돈을 이긴 사람이 갖기로 미리 약속을 하고 승부를 겨룸.
내부	ㄴㅏㅣㅂㅜ	사물의 안쪽 공간.
내사	ㄴㅏㅣㅅㅏ	어떤 사람이나 조직에 대하여 죄가 있는지 몰래 조사함.
내수	ㄴㅏㅣㅅㅜ	국내의 수요.
내시	ㄴㅏㅣㅅㅣ	옛날에 궁궐에서 임금의 시중을 들던, 거세된 남자.
내야	ㄴㅏㅣㅇㅑ	야구에서 본루, 일루, 이루, 삼루를 이은 선 안.
내조	ㄴㅏㅣㅈㅗ	아내가 남편을 도움.
내주	ㄴㅏㅣㅈㅜ	바로 다음 주.
내지	ㄴㅏㅣㅈㅣ	해안이나 변두리로부터 안쪽으로 깊이 들어간 지역.
내치	ㄴㅏㅣㅊㅣ	나라 안을 다스리는 것.
내포	ㄴㅏㅣㅍㅗ	어떤 뜻이나 성질 등을 속에 가짐.
내피	ㄴㅏㅣㅍㅣ	속껍질. 또는 속가죽.
너와	ㄴㅓㅇㅗㅏ	기와처럼 쓰는 얇은 돌 조각이나 나뭇조각.
너울	ㄴㅓㅇㅜㄹ	바다의 크고 사나운 물결.
넘버	ㄴㅓㅁㅂㅓ	번호나 차례, 또는 그 숫자.
넙치	ㄴㅓㅂㅊㅣ	몸길이가 60센티미터 정도되고 아주 납작하여 한 쪽은 희고 한 쪽은 검은 갈색이며 눈은 두 개가 모두 몸의 검은 쪽에 있는 바닷물고기.
넝마	ㄴㅓㅇㅁㅏ	낡고 해어져서 입지 못하게 된 옷가지.
네모	ㄴㅓㅣㅁㅗ	네 개의 모서리.
네트	ㄴㅓㅣㅌㅡ	배구, 테니스, 탁구, 배드민턴 등에서 경기장의 한 가운데에 쳐서 두 편의 경계를 짓는 그물.
노년	ㄴㅗㄴㅕㄴ	늙은 나이. 또는 늙은 때.
노동	ㄴㅗㄷㅗㅇ	사람이 필요한 음식이나 물자를 얻기 위하여 육체적으로나 정신적으로 하는 일.
노랑	ㄴㅗㄹㅏㅇ	바나나나 레몬과 같은 색.
노래	ㄴㅗㄹㅏㅣ	운율에 맞게 지은 가사에 곡을 붙인 음악. 또는 그런 음악을 소리 내어 부름.
노력	ㄴㅗㄹㅕㄱ	어떤 목적을 이루기 위하여 힘을 들이고 애를 씀.
노령	ㄴㅗㄹㅕㅇ	늙은 나이.
노름	ㄴㅗㄹㅡㅁ	돈 또는 재물을 걸고 화투, 트럼프, 마작 등으로 내기를 함.
노릇	ㄴㅗㄹㅡㅅ	(낮잡아 이르는 말로) 직업으로 하는 일이나 직책을 맡아 하는 역할.
노망	ㄴㅗㅁㅏㅇ	늙어서 정신이 흐려지고 말이나 행동이 정상이 아닌 상태.
노면	ㄴㅗㅁㅕㄴ	길의 바닥.
노변	ㄴㅗㅂㅕㄴ	길의 양쪽 가장자리.
노병	ㄴㅗㅂㅕㅇ	나이가 많은 병사.
노산	ㄴㅗㅅㅏㄴ	나이가 많은 때에 아기를 낳음.
노상	ㄴㅗㅅㅏㅇ	길 위나 길바닥.
노새	ㄴㅗㅅㅏㅣ	암말과 수나귀 사이에서 난 잡종으로, 나귀와 비슷하게 생긴 집짐승.
노선	ㄴㅗㅅㅓㄴ	버스, 기차, 비행기 등이 정기적으로 오가는 일정한 두 지점 사이의 정해진 길.
노송	ㄴㅗㅅㅗㅇ	늙은 소나무.
노쇠	ㄴㅗㅅㅗㅣ	늙어서 몸의 기운이 약함.
노숙	ㄴㅗㅅㅜㄱ	길이나 공원 등 집 밖에서 잠을 잠.
노승	ㄴㅗㅅㅡㅇ	나이가 많은 중.
노안	ㄴㅗㅇㅏㄴ	나이가 들어서 시력이 나빠짐. 또는 그런 눈.
노역	ㄴㅗㅇㅕㄱ	몹시 힘든 육체적 노동.
노염	ㄴㅗㅇㅕㅁ	몹시 불쾌하여 화가 난 감정.
노예	ㄴㅗㅇㅕㅣ	(옛날에) 물건처럼 사고팔리어 남이 시키는 대로 일을 하는 사람.
노옹	ㄴㅗㅇㅗㅇ	늙은 남자.
노을	ㄴㅗㅇㅡㄹ	해가 뜨거나 질 때 하늘이 붉게 보이는 현상.
노인	ㄴㅗㅇㅣㄴ	나이가 들어 늙은 사람.
노임	ㄴㅗㅇㅣㅁ	노동에 대한 보수.
노작	ㄴㅗㅈㅏㄱ	힘을 들이고 노력해서 이룬 작품.
노장	ㄴㅗㅈㅏㅇ	늙은 장군.
노점	ㄴㅗㅈㅓㅁ	길이나 공터에 임시로 물건을 벌여 놓고 장사하는 곳.
노정	ㄴㅗㅈㅓㅇ	목적지까지의 경로나 일정.
노천	ㄴㅗㅊㅓㄴ	사방이 뚫린 바깥이나 길.
노출	ㄴㅗㅊㅜㄹ	감추어져 있는 것을 남이 보거나 알 수 있도록 겉으로 드러냄.
노친	ㄴㅗㅊㅣㄴ	늙은 부모.
노화	ㄴㅗㅎㅗㅏ	나이가 들며 신체의 구조나 기능이 쇠퇴하는 현상.
녹두	ㄴㅗㄱㄷㅜ	묵, 숙주나물, 빈대떡 등의 재료가 되는 녹색의 작고 동그란 콩.
녹지	ㄴㅗㄱㅈㅣ	자연적으로 풀이나 나무가 많거나 계획적으로 풀이나 나무를 많이 심은 곳.
녹차	ㄴㅗㄱㅊㅏ	차나무의 잎을 딴 후 햇볕에 말린 푸른색 잎. 또는 그 잎으로 만든 차.
녹초	ㄴㅗㄱㅊㅗ	맥이 풀어져 힘을 못 쓰고 축 늘어진 상태.
논거	ㄴㅗㄴㄱㅓ	이론이나 주장의 근거.
논고	ㄴㅗㄴㄱㅗ	자기의 주장이나 신념을 증거를 대며 논술함.
논리	ㄴㅗㄴㄹㅣ	바르게 판단하고 이치에 맞게 생각하는 과정이나 원리.
논자	ㄴㅗㄴㅈㅏ	어떤 의견이나 이론을 주장하는 사람.
논저	ㄴㅗㄴㅈㅓ	어떤 주제에 관한 사실이나 견해를 논하여 책이나 논문을 씀. 또는 그 책이나 논문.
논조	ㄴㅗㄴㅈㅗ	의견을 주장하는 말이나 글에서 감정이나 생각을 드러내는 방식.
논지	ㄴㅗㄴㅈㅣ	어떤 문제에 대해 논하는 말이나 글에서 근본이 되는 목적이나 뜻.
놀부	ㄴㅗㄹㅂㅜ	고전 소설 ‘흥부전’의 주인공 중 한 사람. 흥부의 형으로 욕심이 많고 심술궂다.
놀이	ㄴㅗㄹㅇㅣ	즐겁게 노는 일.
농가	ㄴㅗㅇㄱㅏ	농사에 종사하는 사람의 가정.
농고	ㄴㅗㅇㄱㅗ	‘농업 고등학교’를 줄여 이르는 말.
농구	ㄴㅗㅇㄱㅜ	다섯 사람씩 두 팀이 하며, 상대방의 바스켓에 공을 많이 넣으면 이기는 경기.
농기	ㄴㅗㅇㄱㅣ	말이나 행동에서 보이는 장난스러운 분위기.
농도	ㄴㅗㅇㄷㅗ	기체나 액체에 들어있는 한 성분의 진함과 묽음의 정도.
농무	ㄴㅗㅇㅁㅜ	짙게 낀 안개.
농부	ㄴㅗㅇㅂㅜ	농사 짓는 일을 직업으로 하는 사람.
농사	ㄴㅗㅇㅅㅏ	곡식이나 채소 등을 심고 기르고 거두는 일.
농아	ㄴㅗㅇㅇㅏ	듣지 못하거나 말하지 못하는 사람.
농어	ㄴㅗㅇㅇㅓ	몸이 조금 납작하고 등은 검푸르고 배가 희며 온몸에 잔 비늘이 많은 바닷물고기.
농지	ㄴㅗㅇㅈㅣ	농사를 짓는 땅.
농토	ㄴㅗㅇㅌㅗ	농사짓는 땅.
높이	ㄴㅗㅍㅇㅣ	높은 정도.
뇌리	ㄴㅗㅣㄹㅣ	사람의 의식이나 기억이나 생각이 들어 있는 머릿속.
뇌사	ㄴㅗㅣㅅㅏ	심장 박동 이외에 뇌의 모든 기능이 정지되어 본래의 상태로 되돌아갈 수 없는 상태.
뇌파	ㄴㅗㅣㅍㅏ	뇌가 활동할 때 신경들이 내보내는 전류.
누각	ㄴㅜㄱㅏㄱ	지붕만 있고 문과 벽이 없어 사방을 볼 수 있도록 높이 지은 집.
누계	ㄴㅜㄱㅕㅣ	한 분야에서 여러 작은 합계들을 계속 덧붙여 합한 수치.
누님	ㄴㅜㄴㅣㅁ	(높임말로) 가족이나 친족 관계에서 남자가 자신보다 나이가 위인 여자를 이르거나 부르는 말.
누락	ㄴㅜㄹㅏㄱ	포함되어야 할 부분이 목록이나 기록에서 빠짐.
누룩	ㄴㅜㄹㅜㄱ	술을 빚거나 빵을 만들 때 쓰는 발효제.
누명	ㄴㅜㅁㅕㅇ	사실이 아닌 일로 억울하게 얻은 나쁜 평판.
누설	ㄴㅜㅅㅓㄹ	기체나 액체가 밖으로 새어 나감. 또는 그렇게 함.
누에	ㄴㅜㅇㅓㅣ	뽕잎을 먹고 살며 비단실의 원료가 되는 고치를 지어 그 속에서 살다가 나방이 되는 벌레.
누적	ㄴㅜㅈㅓㄱ	계속 반복되어 쌓임. 또는 계속 반복하여 쌓음.
누전	ㄴㅜㅈㅓㄴ	전기가 전깃줄 밖으로 새어 흐름.
누출	ㄴㅜㅊㅜㄹ	액체나 기체가 밖으로 새어 나오는 것.
눈가	ㄴㅜㄴㄱㅏ	눈의 주변.
눈비	ㄴㅜㄴㅂㅣ	눈과 비. 또는 눈과 비가 섞여 내리는 것.
눈치	ㄴㅜㄴㅊㅣ	상대가 말하지 않아도 그 사람의 마음이나 일의 상황을 이해하고 아는 능력.
능사	ㄴㅡㅇㅅㅏ	자신에게 잘 맞아서 잘해 낼 수 있는 일.
늪가	ㄴㅡㅍㄱㅏ	늪의 가장자리.
늪지	ㄴㅡㅍㅈㅣ	늪이 많은 구역.
니은	ㄴㅣㅇㅡㄴ	한글 자모 ‘ㄴ’의 이름.
다과	ㄷㅏㄱㅗㅏ	수량이 많고 적음.
다단	ㄷㅏㄷㅏㄴ	여러 단.
다독	ㄷㅏㄷㅗㄱ	책을 많이 읽음.
다락	ㄷㅏㄹㅏㄱ	집의 천장과 지붕 사이에 이 층처럼 만들어 물건을 보관하는 공간.
다래	ㄷㅏㄹㅏㅣ	주로 깊은 산속에서 자라며 가을에 손가락 굵기 정도의 푸르고 둥근 열매가 열리는 식물.
다량	ㄷㅏㄹㅑㅇ	많은 분량.
다면	ㄷㅏㅁㅕㄴ	여러 개의 면.
다발	ㄷㅏㅂㅏㄹ	꽃이나 채소, 돈 등의 묶음.
다방	ㄷㅏㅂㅏㅇ	차나 커피, 음료를 사서 마시며 이야기하거나 쉴 수 있는 장소.
다산	ㄷㅏㅅㅏㄴ	아이나 새끼를 많이 낳음.
다승	ㄷㅏㅅㅡㅇ	운동 경기 등에서 여러 번 이김.
다실	ㄷㅏㅅㅣㄹ	사람들이 편히 쉬며 이야기할 수 있게 꾸며 놓고 커피, 차 등의 음료수를 파는 곳.
다운	ㄷㅏㅇㅜㄴ	(속된 말로) 일에 지치거나 좋지 않은 일을 당해서 의욕이나 흥미, 기운을 잃어버림. 또는 그런 상태.
다음	ㄷㅏㅇㅡㅁ	어떤 차례에서 바로 뒤.
다작	ㄷㅏㅈㅏㄱ	작품을 많이 만듦.
다정	ㄷㅏㅈㅓㅇ	마음이 따뜻하고 정이 많음.
다중	ㄷㅏㅈㅜㅇ	여러 겹.
다짐	ㄷㅏㅈㅣㅁ	이미 한 일이나 앞으로 할 일에 틀림이 없음을 단단히 확인함.
다층	ㄷㅏㅊㅡㅇ	여러 층.
다툼	ㄷㅏㅌㅜㅁ	싸우는 일.
다홍	ㄷㅏㅎㅗㅇ	진하고 산뜻한 붉은색.
단가	ㄷㅏㄴㄱㅏ	물건 한 단위의 가격.
단교	ㄷㅏㄴㄱㅛ	서로 사귀어 가까이 지내던 관계를 끊음.
단기	ㄷㅏㄴㄱㅣ	짧은 기간.
단도	ㄷㅏㄴㄷㅗ	칼의 한쪽에 날이 서 있는 길이가 짧은 칼.
단비	ㄷㅏㄴㅂㅣ	꼭 필요한 때에 적당하게 내리는 비.
단서	ㄷㅏㄴㅅㅓ	법률 조문이나 문서 등에서, 본문 다음에 그 내용에 대한 어떤 조건이나 예외 등을 적은 글.
단소	ㄷㅏㄴㅅㅗ	오래된 대나무로 짧고 가늘게 만들어 앞에 넷, 뒤에 하나의 구멍을 뚫은 한국의 전통 관악기.
단수	ㄷㅏㄴㅅㅜ	바둑, 유도, 태권도 등 단으로 등급을 매기는 운동이나 기술에서 그 단의 수.
단어	ㄷㅏㄴㅇㅓ	일정한 뜻과 기능을 가지며 홀로 쓰일 수 있는 가장 작은 말의 단위.
단오	ㄷㅏㄴㅇㅗ	한국의 명절의 하나. 음력 5월 5일로, 여자는 창포물에 머리를 감고 그네뛰기를 하며, 남자는 씨름을 하는 풍습이 있다.
단자	ㄷㅏㄴㅈㅏ	결혼이나 장례 의식 등에서 사용되는 태어난 연월일시나 이름 등을 쓴 종이.
단조	ㄷㅏㄴㅈㅗ	단음계로 된 곡조.
단지	ㄷㅏㄴㅈㅣ	윗부분이 짧고 가운데 부분이 불룩한 작은 항아리.
단초	ㄷㅏㄴㅊㅗ	어떤 사건이나 일의 시작, 또는 사건이나 일이 일어나게 된 동기.
단추	ㄷㅏㄴㅊㅜ	옷을 여미기 위해 사용하는 작고 동그란 물건.
달러	ㄷㅏㄹㄹㅓ	미국의 돈.
달수	ㄷㅏㄹㅅㅜ	몇 달인지 세어 보았을 때 계산된 달의 수.
달포	ㄷㅏㄹㅍㅗ	한 달이 조금 넘는 시간.
담보	ㄷㅏㅁㅂㅗ	빚을 진 사람이 빚을 갚지 않을 경우에 그 빚을 대신할 수 있는 것으로 내놓는 것.
담소	ㄷㅏㅁㅅㅗ	좋은 분위기에서 웃고 즐기며 이야기함. 또는 그런 이야기.
